Date,Number
23-Jan,1
24-Jan,3
25-Jan,4
26-Jan,4
27-Jan,5
28-Jan,7
29-Jan,10
30-Jan,13
31-Jan,16
1-Feb,18
2-Feb,18
3-Feb,18
4-Feb,24
5-Feb,28
6-Feb,30
7-Feb,33
8-Feb,40
9-Feb,43
10-Feb,45
11-Feb,47
12-Feb,50
13-Feb,58
14-Feb,67
15-Feb,72
16-Feb,75
17-Feb,77
18-Feb,81
19-Feb,84
20-Feb,85
21-Feb,86
22-Feb,89
23-Feb,89
24-Feb,90
25-Feb,91
26-Feb,93
27-Feb,96
28-Feb,98
29-Feb,102
1-Mar,106
2-Mar,108
3-Mar,110
4-Mar,112
5-Mar,117
6-Mar,130
7-Mar,138
8-Mar,150
9-Mar,160
10-Mar,166
11-Mar,178
12-Mar,187
13-Mar,200
14-Mar,212
15-Mar,226
16-Mar,243
17-Mar,266
18-Mar,313
19-Mar,345
20-Mar,385
21-Mar,432
22-Mar,455
23-Mar,509
24-Mar,558
25-Mar,631
26-Mar,683
27-Mar,732
28-Mar,802
29-Mar,844
30-Mar,879
31-Mar,926
1-Apr,"1,000"
2-Apr,"1,049"
3-Apr,"1,114"
4-Apr,"1,189"
5-Apr,"1,309"
6-Apr,"1,375"
7-Apr,"1,481"
8-Apr,"1,623"
9-Apr,"1,910"
10-Apr,"2,108"
11-Apr,"2,299"
12-Apr,"2,532"
13-Apr,"2,918"
14-Apr,"3,252"
15-Apr,"3,699"
16-Apr,"4,427"
17-Apr,"5,050"
18-Apr,"5,992"
19-Apr,"6,588"
20-Apr,"8,014"
21-Apr,"9,125"
22-Apr,"10,141"
23-Apr,"11,178"
24-Apr,"12,075"
25-Apr,"12,693"
26-Apr,"13,624"
27-Apr,"14,423"
28-Apr,"14,951"
29-Apr,"15,641"
30-Apr,"16,169"
1-May,"17,101"
2-May,"17,548"
3-May,"18,205"
4-May,"18,778"
5-May,"19,410"
6-May,"20,198"
7-May,"20,939"
8-May,"21,707"
9-May,"22,460"
10-May,"23,336"
11-May,"23,787"
12-May,"24,671"
13-May,"25,346"
14-May,"26,098"
15-May,"26,891"
16-May,"27,356"
17-May,"28,038"
18-May,"28,343"
19-May,"28,794"
20-May,"29,364"
21-May,"29,812"
22-May,"30,426"
23-May,"31,068"
24-May,"31,616"
25-May,"31,960"
26-May,"32,343"
27-May,"32,876"
28-May,"33,249"
29-May,"33,860"
30-May,"34,366"
31-May,"34,884"
1-Jun,"35,292"
2-Jun,"35,836"
3-Jun,"36,405"
4-Jun,"36,922"
5-Jun,"37,183"
6-Jun,"37,527"
7-Jun,"37,910"
8-Jun,"38,296"
9-Jun,"38,514"
10-Jun,"38,965"
11-Jun,"39,387"
12-Jun,"39,850"
13-Jun,"40,197"
14-Jun,"40,604"
15-Jun,"40,818"
16-Jun,"40,969"
17-Jun,"41,216"
18-Jun,"41,473"
19-Jun,"41,615"
20-Jun,"41,833"
21-Jun,"42,095"
22-Jun,"42,313"
23-Jun,"42,432"
24-Jun,"42,623"
25-Jun,"42,736"
26-Jun,"42,955"
27-Jun,"43,246"
28-Jun,"43,459"
29-Jun,"43,661"
30-Jun,"43,907"
1-Jul,"44,122"
2-Jul,"44,310"
3-Jul,"44,479"
4-Jul,"44,664"
5-Jul,"44,800"
6-Jul,"44,983"
7-Jul,"45,140"
8-Jul,"45,298"
9-Jul,"45,423"
10-Jul,"45,613"
11-Jul,"45,783"
12-Jul,"45,961"
13-Jul,"46,283"
14-Jul,"46,629"
15-Jul,"46,878"
16-Jul,"47,126"
17-Jul,"47,453"
18-Jul,"47,655"
19-Jul,"47,912"
20-Jul,"48,035"
21-Jul,"48,434"
22-Jul,"48,744"
23-Jul,"49,098"
24-Jul,"49,375"
25-Jul,"49,888"
26-Jul,"50,369"
27-Jul,"50,838"
28-Jul,"51,197"
29-Jul,"51,531"
30-Jul,"51,809"
31-Jul,"52,205"
1-Aug,"52,512"
2-Aug,"52,825"
3-Aug,"53,051"
4-Aug,"53,346"
5-Aug,"54,254"
6-Aug,"54,555"
7-Aug,"54,797"
8-Aug,"54,929"
9-Aug,"55,104"
10-Aug,"55,292"
11-Aug,"55,353"
12-Aug,"55,395"
13-Aug,"55,497"
14-Aug,"55,580"
15-Aug,"55,661"
16-Aug,"55,747"
17-Aug,"55,838"
18-Aug,"55,938"
19-Aug,"56,031"
20-Aug,"56,099"
21-Aug,"56,216"
22-Aug,"56,266"
23-Aug,"56,353"
24-Aug,"56,404"
25-Aug,"56,435"
26-Aug,"56,495"
27-Aug,"56,572"
28-Aug,"56,666"
29-Aug,"56,717"
30-Aug,"56,771"
31-Aug,"56,812"
1-Sep,"56,852"
2-Sep,"56,860"
3-Sep,"56,908"
4-Sep,"56,948"
5-Sep,"56,982"
6-Sep,"57,022"
7-Sep,"57,044"
8-Sep,"57,091"
9-Sep,"57,166"
10-Sep,"57,229"
11-Sep,"57,315"
12-Sep,"57,357"
13-Sep,"57,406"
14-Sep,"57,454"
15-Sep,"57,488"
16-Sep,"57,514"
17-Sep,"57,532"
18-Sep,"57,543"
19-Sep,"57,558"
20-Sep,"57,576"
21-Sep,"57,606"
22-Sep,"57,627"
23-Sep,"57,639"
24-Sep,"57,654"
25-Sep,"57,665"
26-Sep,"57,685"
27-Sep,"57,700"
28-Sep,"57,715"
29-Sep,"57,742"
30-Sep,"57,765"
1-Oct,"57,784"
2-Oct,"57,794"
3-Oct,"57,800"
4-Oct,"57,812"
5-Oct,"57,819"
6-Oct,"57,830"
7-Oct,"57,840"
8-Oct,"57,849"
9-Oct,"57,859"
10-Oct,"57,866"
11-Oct,"57,876"
12-Oct,"57,880"
13-Oct,"57,884"
14-Oct,"57,889"
15-Oct,"57,892"
16-Oct,"57,901"
17-Oct,"57,904"
18-Oct,"57,911"
19-Oct,"57,915"
20-Oct,"57,921"
21-Oct,"57,933"
22-Oct,"57,941"
23-Oct,"57,951"
24-Oct,"57,965"
25-Oct,"57,970"
26-Oct,"57,973"
