Date,Number
23-Jan,1
24-Jan,2
25-Jan,1
26-Jan,0
27-Jan,1
28-Jan,2
29-Jan,3
30-Jan,3
31-Jan,3
1-Feb,2
2-Feb,0
3-Feb,0
4-Feb,6
5-Feb,4
6-Feb,2
7-Feb,3
8-Feb,7
9-Feb,3
10-Feb,2
11-Feb,2
12-Feb,3
13-Feb,8
14-Feb,9
15-Feb,5
16-Feb,3
17-Feb,2
18-Feb,4
19-Feb,3
20-Feb,1
21-Feb,1
22-Feb,3
23-Feb,0
24-Feb,1
25-Feb,1
26-Feb,2
27-Feb,3
28-Feb,2
29-Feb,4
1-Mar,4
2-Mar,2
3-Mar,3
4-Mar,2
5-Mar,5
6-Mar,13
7-Mar,8
8-Mar,12
9-Mar,10
10-Mar,6
11-Mar,12
12-Mar,9
13-Mar,13
14-Mar,12
15-Mar,14
16-Mar,17
17-Mar,23
18-Mar,47
19-Mar,32
20-Mar,40
21-Mar,47
22-Mar,23
23-Mar,54
24-Mar,49
25-Mar,73
26-Mar,52
27-Mar,49
28-Mar,70
29-Mar,42
30-Mar,35
31-Mar,47
1-Apr,74
2-Apr,49
3-Apr,65
4-Apr,75
5-Apr,120
6-Apr,66
7-Apr,106
8-Apr,142
9-Apr,297
10-Apr,198
11-Apr,191
12-Apr,233
13-Apr,386
14-Apr,334
15-Apr,447
16-Apr,728
17-Apr,623
18-Apr,942
19-Apr,596
20-Apr,1426
21-Apr,1111
22-Apr,1016
23-Apr,1037
24-Apr,897
25-Apr,618
26-Apr,931
27-Apr,799
28-Apr,528
29-Apr,690
30-Apr,528
1-May,932
2-May,447
3-May,657
4-May,573
5-May,632
6-May,788
7-May,741
8-May,768
9-May,753
10-May,876
11-May,486
12-May,884
13-May,675
14-May,752
15-May,793
16-May,465
17-May,682
18-May,305
19-May,451
20-May,570
21-May,448
22-May,614
23-May,642
24-May,548
25-May,344
26-May,383
27-May,533
28-May,373
29-May,611
30-May,506
31-May,518
1-Jun,408
2-Jun,544
3-Jun,569
4-Jun,517
5-Jun,261
6-Jun,344
7-Jun,383
8-Jun,389
9-Jun,218
10-Jun,451
11-Jun,422
12-Jun,463
13-Jun,347
14-Jun,407
15-Jun,214
16-Jun,151
17-Jun,247
18-Jun,202
19-Jun,257
20-Jun,123
21-Jun,399
22-Jun,310
23-Jun,354
24-Jun,277
25-Jun,513
26-Jun,481
27-Jun,469
28-Jun,359
29-Jun,334
30-Jun,278
1-Jul,396
2-Jul,307
3-Jul,313
4-Jul,226
5-Jul,295
6-Jul,908
7-Jul,301
8-Jul,242
9-Jul,132
10-Jul,175
11-Jul,188
12-Jul,61
13-Jul,42
14-Jul,102
15-Jul,83
16-Jul,81
17-Jul,86
18-Jul,91
19-Jul,100
20-Jul,93
21-Jul,68
22-Jul,117
23-Jul,50
24-Jul,87
25-Jul,51
26-Jul,31
27-Jul,60
28-Jul,77
29-Jul,94
30-Jul,51
31-Jul,54
1-Aug,41
2-Aug,40
3-Aug,49
4-Aug,48
5-Aug,40
6-Aug,34
7-Aug,40
8-Aug,22
9-Aug,47
10-Aug,75
11-Aug,63
12-Aug,86
13-Aug,42
14-Aug,49
15-Aug,48
16-Aug,34
17-Aug,27
18-Aug,18
19-Aug,11
20-Aug,15
21-Aug,18
22-Aug,31
23-Aug,21
24-Aug,12
25-Aug,15
26-Aug,11
27-Aug,20
28-Aug,15
29-Aug,15
30-Aug,27
31-Aug,23
1-Sep,19
2-Sep,10
3-Sep,6
4-Sep,12
5-Sep,7
6-Sep,11
7-Sep,10
8-Sep,9
9-Sep,10
10-Sep,7
11-Sep,10
12-Sep,4
13-Sep,4
14-Sep,48
15-Sep,34
16-Sep,27
17-Sep,18
18-Sep,11
19-Sep,15
20-Sep,18
21-Sep,31
22-Sep,21
23-Sep,12
24-Sep,15
25-Sep,11
26-Sep,20
27-Sep,15
28-Sep,15
29-Sep,27
30-Sep,23
1-Oct,-
2-Oct,10
3-Oct,6
4-Oct,12
5-Oct,7
6-Oct,11
7-Oct,10
8-Oct,9
9-Oct,10
10-Oct,7
11-Oct,10
12-Oct,4
13-Oct,4
14-Oct,5
15-Oct,3
16-Oct,9
17-Oct,3
18-Oct,7
19-Oct,4
20-Oct,6
21-Oct,12
22-Oct,8
23-Oct,10
24-Oct,14
25-Oct,5
26-Oct,3
27-Oct,7
28-Oct,7
29-Oct,7
30-Oct,9
31-Oct,12
1-Nov,4
2-Nov,1
3-Nov,9
4-Nov,7
5-Nov,7
6-Nov,4
